Angela FERNANDEZ;212
Andrea ZIMMERMANN;205
Vera MORENO;194
Jose HUBER;193
Giovanni JENSEN;182
Michel FERRARI;181
Lyubov TÓTH;175
Thomas GUTIERREZ;174
Richard IVANOV;172
Mariya SANCHEZ;166
Andrea GARCIA;165
Ana HUBER;163
Laura MARTINEZ;162
Sandra GOMEZ;158
Maksim JIMENEZ;157
Valentyna KOCH;155
Michel PEREZ;153
Sandra JENSEN;152
Irina RAMOS;152
Anton ROMERO;150
Marta JIMENEZ;149
Alina ALVAREZ;149
Francisco BAUER;148
Petra FISCHER;146
John COSTA;146
Christian HOFFMANN;146
Tatyana SMIRNOV;145
Rosa NIELSEN;143
Valentyna PETROVA;142
Klaus SIMON;140
Francisco TÓTH;140
Sandra VASILEVA;139
Pavel SANTOS;139
Mario FERNANDEZ;139
Maksim HUBER;139
Barbara GARCIA;139
Vladymyr HUBER;138
Roman PAVLOVA;138
Laura POPOVA;138
Klaus VARGA;138
Brigitte SCHÄFER;138
Marta MARIN;137
Marina SMIRNOVA;137
Alexander SOKOLOVA;137
Mária BONDARENKO;136
Svetlana WILSON;135
Serhei RODRIGUEZ;134
Richard MAGOMEDOV;134
Mario SZABÓ;134
Darya HOFFMANN;134
Yvan KOVÁCS;133
Rosa SCHNEIDER;133
Piotr NOVIKOVA;133
Marina GOMEZ;133
Marie NIELSEN;133
Claude FISCHER;133
Aleksandr WEBER;133
Jose BONDARENKO;132
Dmitriy JOHANSSON;132
Angela FERRARI;132
Vladimir SANCHEZ;131
Pavel SCHMID;131
Nykolai WAGNER;131
Mária IVANOV;131
John SHEVCHENKO;131
Igor THOMAS;131
Francesco LOPEZ;131
Sergey MARTIN;130
Igor MEYER;130
Petra KRAVCHENKO;129
Mária JOHNSON;129
Jean RODRIGUEZ;129
Aleksey FERREIRA;129
Marie GARCIA;128
Lyubov JOHANSSON;128
Eva TÓTH;128
David VARGA;128
Claude SCHULZ;128
Thomas WILSON;127
Piotr PETROVA;127
Oksana BRAUN;127
Vladimir MORENO;126
Vera TAYLOR;126
Olga SCHULZ;126
Olga ALVAREZ;126
Nikolay BECKER;126
Nadezhda PEREZ;126
Lyubov FERNANDEZ;126
Juan KUZNETSOV;126
Alexander MOROZOVA;126
Klaus RICHTER;125
Andrey DAVIES;125
Andreas WOLF;125
Valentyna ANDERSSON;124
Sandra RAMOS;124
Robert FERRARI;124
Piotr RUSSO;124
Ekaterina LOPEZ;124
Andrei MILLER;124
Rosa PAVLOVA;123
Petra SANCHEZ;123
Nikolay POPOVA;123
Laura PETROV;123
Eva WILSON;123
Sergey PAVLOVA;122
Roman WEBER;122
Ekaterina PETROV;122
Brigitte HANSEN;122
Mikhail JONES;121
Mariya PAVLOVA;121
Manfred KLEIN;121
Hans KRAVCHENKO;121
Monika ALONSO;120
Klaus POPOV;120
Klaus MUÑOZ;120
Evgeniy FERREIRA;120
Dmitriy MUÑOZ;120
Anastasiya MEYER;120
Vasylyi HUBER;119
Nadezhda KOVALENKO;119
Mária SANCHEZ;119
Monika MÜLLER;119
Martin JOHANSSON;119
Marta POPOVA;119
Mariya GONZALEZ;119
Marie MARTIN;119
John ALVAREZ;119
Denis HUBER;119
Denis HOFFMANN;119
Andrey GOMEZ;119
Andreas HOFFMANN;119
Anastasiya DAVIES;119
Mária PETROV;118
Marie BAUER;118
Karin WAGNER;118
Alexander MEYER;118
Aleksandra GUTIERREZ;118
Patrick JIMENEZ;117
Olha TAYLOR;117
Maria WAGNER;117
Maksim MOROZOVA;117
Jean FERNANDEZ;117
Jan JONES;117
Christine POPOV;117
Christine PAVLOVA;117
Angela NOVIKOVA;117
Serhei ZIMMERMANN;116
Sandra SZABÓ;116
Lyubov VARGA;116
Igor SHEVCHENKO;116
Hans ALONSO;116
Giuseppe IVANOV;116
Vera KLEIN;115
Michel POPOV;115
Mario JONES;115
Manfred RUIZ;115
Irina JENSEN;115
Hans MARIN;115
Giovanni SIMON;115
Wolfgang MUÑOZ;114
Piotr MÜLLER;114
Maryia MILLER;114
Josef ALVAREZ;114
Jose THOMAS;114
Jose PAVLOVA;114
Elena PEREIRA;114
Ekaterina SHEVCHENKO;114
Werner KOCH;113
Robert SMIRNOV;113
Petra MARTIN;113
Olha JOHANSSON;113
Marina PETROV;113
Jean RUIZ;113
Ivan SHEVCHENKO;113
Francesco MORENO;113
Barbara TORRES;113
Valentyna TORRES;112
Tatiana TAYLOR;112
Paul BECKER;112
Natalya VASILEVA;112
Martin MUÑOZ;112
Valentina COSTA;111
Robert SANCHEZ;111
Elisabeth MEYER;111
Anastasiya THOMAS;111
Robert ROBERTS;110
Olga MILLER;110
Oksana ALONSO;110
Michel BAUER;110
Maria SILVA;110
Ivan SCHNEIDER;110
Dmitriy GARCIA;110
Anna WAGNER;110
Yuliya ALONSO;109
Tatiana POPOV;109
Roman ALVAREZ;109
Natalya PEREZ;109
Maryia BAUER;109
Martin RODRIGUEZ;109
Marta HANSEN;109
Laura GUTIERREZ;109
Jose WAGNER;109
Igor MARIN;109
